HEAD,FPGA,TDC_CHANNEL,ORBIT_CNT,BX_COUNTER,TDC_MEAS
1,1,34,48663,704,8
1,0,69,48665,792,28
1,1,52,48665,2289,2
1,1,39,48667,1865,15
1,1,40,48674,141,18
1,1,108,48674,2114,16
1,1,35,48682,2430,2
1,1,4,48683,1664,11
1,0,85,48685,309,13
1,0,56,48685,311,27
1,0,57,48685,309,12
1,0,83,48685,316,26
1,0,84,48685,315,13
1,0,58,48685,316,9
1,0,86,48685,322,10
1,1,117,48686,212,20
1,1,52,48686,2396,24
1,1,59,48686,2398,20
1,1,61,48686,2398,26
1,1,54,48686,2398,28
1,1,55,48686,2402,19
1,1,52,48688,642,6
1,0,6,48689,402,27
1,0,127,48689,406,13
1,0,7,48689,403,29
1,0,128,48689,404,2
1,0,4,48689,409,22
1,0,7,48700,1516,11
1,0,7,48701,607,21
1,1,65,48703,2224,17
1,1,66,48703,2230,18
1,0,7,48710,418,14
1,1,32,48710,2336,29
1,0,75,48711,689,8
1,0,75,48711,698,12
1,0,7,48711,2309,22
1,0,4,48712,591,13
1,0,7,48712,598,1
1,0,7,48713,1897,14
1,0,35,48717,1980,15
1,0,66,48719,561,26
1,1,126,48720,2918,17
1,1,105,48732,758,15
1,1,4,48733,1459,24
1,1,81,48735,1903,9
1,1,25,48735,1905,5
1,1,80,48735,1908,0
1,1,82,48735,1910,19
1,1,79,48735,1910,4
1,1,44,48739,1694,18
1,0,102,48747,2451,22
1,1,44,48747,2452,20
1,0,101,48747,2457,28
1,0,103,48747,2455,8
1,1,4,48755,1467,9
1,1,12,48758,1974,26
1,1,18,48764,3485,4
1,1,4,48768,1549,21
1,1,44,48777,1583,21
1,1,61,48777,1714,11
1,0,86,48777,2219,0
1,1,24,48787,140,25
1,1,4,48792,62,25
1,1,92,48793,3553,9
1,1,24,48808,2754,17
1,1,56,48810,1446,23
1,1,57,48810,2437,23
1,1,84,48810,3114,14
1,0,125,48812,3194,9
1,1,26,48813,2005,2
1,1,26,48813,2010,20
1,0,1,48814,1675,11
1,0,3,48814,1680,4
1,0,6,48814,1684,11
1,0,4,48814,1685,18
1,0,41,48815,669,21
1,1,92,48817,2860,11
1,1,12,48819,2447,13
1,0,74,48830,1325,11
1,0,115,48833,366,11
1,1,16,48841,2020,29
1,0,3,48852,1291,27
1,0,22,48857,2087,21
1,1,8,48860,1819,11
1,1,50,48861,1589,26
1,1,18,48862,2291,6
1,0,81,48863,3402,11
1,0,72,48868,1130,24
1,1,92,48868,3500,12
1,1,36,48869,3137,21
1,1,2,48870,1960,19
1,1,2,48870,1966,18
1,1,121,48871,1813,23
1,1,16,48881,2176,12
1,0,3,48885,1280,1
1,0,4,48885,2874,26
1,1,20,48887,3094,20
1,1,42,48890,1527,7
1,1,80,48911,2206,17
